cluster_id|norma
85|RDC 44/2007
147|RDC 44/2009
82|RDC 44/2010
71|RDC 44/2011
115|RDC 44/2012
147|RDC 45/2000
104|RDC 45/2008
74|RDC 45/2010
71|RDC 45/2011
58|RDC 46/2002
154|RDC 46/2007
111|RDC 46/2009
74|RDC 46/2010
71|RDC 46/2011
146|RDC 46/2012
147|RDC 47/2000
115|RDC 47/2006
115|RDC 47/2007
120|RDC 47/2009
158|RDC 47/2011
123|RDC 47/2013
162|RDC 47/2015
120|RDC 48/2004
115|RDC 48/2006
147|RDC 48/2007
120|RDC 48/2009
24|RDC 48/2015
146|RDC 49/2007
120|RDC 49/2011
140|RDC 50/2001
145|RDC 50/2006
146|RDC 50/2007
120|RDC 50/2011
147|RDC 50/2014
147|RDC 50/2015
147|RDC 51/2007
113|RDC 51/2008
73|RDC 51/2010
147|RDC 51/2012
145|RDC 51/2015
143|RDC 52/2000
99|RDC 52/2007
123|RDC 52/2009
73|RDC 52/2010
147|RDC 52/2011
115|RDC 52/2015
74|RDC 53/2000
147|RDC 53/2007
145|RDC 53/2008
120|RDC 53/2015
123|RDC 54/2000
74|RDC 54/2007
145|RDC 54/2010
147|RDC 54/2011
120|RDC 54/2013
146|RDC 54/2015
109|RDC 55/2007
96|RDC 55/2008
115|RDC 55/2009
35|RDC 55/2012
107|RDC 56/2008
46|RDC 56/2009
95|RDC 56/2015
145|RDC 57/2008
52|RDC 57/2010
123|RDC 57/2012
120|RDC 57/2013
147|RDC 57/2015
147|RDC 58/2000
147|RDC 58/2007
138|RDC 58/2008
147|RDC 58/2009
101|RDC 58/2010
120|RDC 58/2013
147|RDC 58/2016
123|RDC 59/2000
74|RDC 59/2007
120|RDC 59/2009
115|RDC 59/2010
147|RDC 60/2000
74|RDC 60/2007
120|RDC 60/2009
120|RDC 60/2010
95|RDC 60/2016
109|RDC 61/2004
145|RDC 61/2007
82|RDC 61/2010
115|RDC 61/2011
103|RDC 61/2014
162|RDC 61/2016
35|RDC 62/2008
85|RDC 63/2007
85|RDC 63/2008
119|RDC 63/2009
74|RDC 64/2000
145|RDC 64/2007
119|RDC 64/2009
145|RDC 64/2012
145|RDC 64/2014
96|RDC 64/2016
74|RDC 65/2007
147|RDC 65/2008
81|RDC 65/2014
147|RDC 66/2007
113|RDC 66/2008
123|RDC 66/2009
119|RDC 66/2011
147|RDC 67/2002
120|RDC 67/2007
58|RDC 68/2002
110|RDC 68/2003
19|RDC 68/2007
147|RDC 68/2009
147|RDC 68/2011
147|RDC 68/2014
147|RDC 68/2016
74|RDC 69/2007
123|RDC 69/2008
74|RDC 70/2003
74|RDC 70/2007
123|RDC 70/2008
147|RDC 70/2016
106|RDC 71/2003
74|RDC 71/2008
120|RDC 71/2009
120|RDC 72/2004
147|RDC 72/2007
106|RDC 72/2009
35|RDC 73/2004
146|RDC 73/2007
146|RDC 74/2007
24|RDC 75/2007
113|RDC 75/2008
106|RDC 76/2003
83|RDC 76/2007
115|RDC 77/2001
115|RDC 77/2007
147|RDC 77/2016
102|RDC 78/2000
147|RDC 78/2006
115|RDC 78/2007
115|RDC 78/2016
115|RDC 79/2000
146|RDC 79/2003
85|RDC 79/2008
120|RDC 80/2002
143|RDC 80/2003
120|RDC 80/2006
106|RDC 80/2007
146|RDC 80/2016
123|RDC 81/2003
147|RDC 81/2007
110|RDC 81/2008
67|RDC 81/2016
112|RDC 82/2000
147|RDC 82/2007
74|RDC 83/2000
145|RDC 83/2006
115|RDC 83/2016
74|RDC 84/2000
120|RDC 84/2002
110|RDC 86/2000
111|RDC 86/2006
149|RDC 86/2007
105|RDC 86/2016
120|RDC 87/2007
85|RDC 88/2007
147|RDC 88/2008
74|RDC 89/2000
50|RDC 89/2001
147|RDC 89/2002
106|RDC 89/2007
145|RDC 89/2008
73|RDC 89/2016
64|RDC 90/2000
111|RDC 90/2007
73|RDC 90/2016
73|RDC 91/2001
147|RDC 91/2007
113|RDC 91/2008
120|RDC 92/2000
147|RDC 92/2007
64|RDC 93/2000
54|RDC 93/2006
43|RDC 93/2007
74|RDC 94/2000
147|RDC 94/2007
120|RDC 94/2008
147|RDC 95/2000
120|RDC 95/2008
145|RDC 96/2005
120|RDC 96/2008
146|RDC 97/2005
147|RDC 99/2000
110|RDC 99/2008
26|RE 02/1999
78|RE 04/1999
35|RE 105/1999
151|RE 10/2008
85|RE 147/1999
85|RE 166/2000
74|RE 16/1999
74|RE 17/1999
74|RE 18/1999
74|RE 19/1999
142|RE 210/1999
132|RE 229/1999
123|RE 309/1999
123|RE 310/1999
123|RE 327/1999
147|RE 328/1999
118|RE 329/1999
115|RE 335/1999
115|RE 336/1999
143|RE 362/1999
143|RE 363/1999
61|RE 364/1999
74|RE 382/1999
74|RE 384/1999
74|RE 385/1999
74|RE 386/1999
74|RE 387/1999
74|RE 388/1999
74|RE 389/1999
120|RE 391/1999
74|RE 449/1999
147|RE 460/1999
85|RE 478/1999
85|RE 480/1999
115|RE 481/1999
120|RE 510/1999
25|RE 01/1999
130|RE 01/2002
120|RE 1170/2006
136|RE 119/2004
136|RE 1315/2005
137|RE 1316/2005
67|RE 140/2002
147|RE 1450/2001
20|RE 1529/2003
95|RE 165/2003
57|RE 1671/2006
147|RE 198/2001
43|RE 01/2001
120|RE 215/2004
120|RE 2328/2005
147|RE 2347/2015
147|RE 2544/2017
114|RE 2606/2006
24|RE 2696/2017
120|RE 2999/2006
120|RE 310/2004
120|RE 321/2004
85|RE 33/2000
120|RE 397/2004
120|RE 398/2004
120|RE 483/2002
120|RE 485/2002
30|RE 515/2006
120|RE 560/2002
33|RE 572/2002
120|RE 893/2003
120|RE 896/2003
120|RE 897/2003
120|RE 899/2003
134|RE 89/2004
120|RE 900/2003
120|RE 901/2003
120|RE 902/2003
124|RE 90/2004
120|RE 91/2004
74|RE 22/2007
92|INC 01/2006
91|INC 01/2017
95|INC 02/2006
92|INC 03/2006
92|INC 32/2005
27|IN 01/2009
134|IN 01/2011
83|IN 01/2013
120|IN 02/2009
118|IN 02/2012
103|IN 03/2010
118|IN 03/2012
120|IN 03/2014
147|IN 04/2008
31|IN 04/2010
115|IN 04/2012
132|IN 04/2013
134|IN 04/2014
120|IN 05/2009
145|IN 05/2012
158|IN 05/2013
120|IN 05/2014
126|IN 06/2010
27|IN 06/2011
134|IN 07/2014
134|IN 07/2016
108|IN 08/2013
153|IN 08/2014
38|IN 09/2002
74|IN 09/2009
118|IN 09/2014
134|IN 10/2010
134|IN 10/2014
134|IN 10/2016
120|IN 11/2009
120|IN 12/2009
132|IN 12/2016
27|IN 13/2016
49|IN 14/2009
147|IN 14/2016
147|IN 15/2009
76|IN 15/2017
162|IN 16/2017
20|IN 17/2017
134|IN 18/2017
120|IN 09/2016
167|PRTC 01/2001
104|PRTC 01/2017
104|PRTC 02/2017
16|Portaria 114/1998
23|Portaria 1289/2015
17|Portaria 152/1998
115|Portaria 152/1999
11|Portaria 156/1992
18|Portaria 15/1990
11|Portaria 227/1996
16|Portaria 254/1999
123|Portaria 272/1998
16|Portaria 286/1999
16|Portaria 307/1997
163|Portaria 35/2018
22|Portaria 381/1999
65|Portaria 462/1997
15|Portaria 554/2002
16|Portaria 643/1997
105|Portaria 748-C/2012
162|Portaria 854/2017
16|Portaria 869/1998
115|Portaria 97/1996
48|Portaria 08/1987
123|Portaria 1428/1993
116|Portaria 108/1991
68|Portaria 133/1992
6|Portaria 38/1989
61|Portaria 1002/1998
72|Portaria 1003/1998
77|Portaria 1004/1998
16|Portaria 1050/1998
6|Portaria 13/1996
5|Portaria 161/1997
35|Portaria 174/1996
35|Portaria 175/1996
35|Portaria 176/1996
74|Portaria 222/1998
73|Portaria 27/1996
74|Portaria 28/1998
115|Portaria 295/1998
115|Portaria 296/1998
74|Portaria 29/1998
